0	2.5000000186
1	2.5003976408
2	2.5007947960
3	2.5011914858
4	2.5015877127
5	2.5019834799
6	2.5023787911
7	2.5027736502
8	2.5031680615
9	2.5035620295
10	2.5039555588
11	2.5043486539
12	2.5047413195
13	2.5051335603
14	2.5055253808
15	2.5059167855
16	2.5063077786
17	2.5066983642
18	2.5070885463
19	2.5074783284
20	2.5078677139
21	2.5082567058
22	2.5086453068
23	2.5090335194
24	2.5094213453
25	2.5098087862
26	2.5101958432
27	2.5105825170
28	2.5109688077
29	2.5113547150
30	2.5117402381
31	2.5121253757
32	2.5125101258
33	2.5128944860
34	2.5132784532
35	2.5136620239
36	2.5140451938
37	2.5144279579
38	2.5148103108
39	2.5151922462
40	2.5155737574
41	2.5159548368
42	2.5163354763
43	2.5167156668
44	2.5170953988
45	2.5174746619
46	2.5178534450
47	2.5182317363
48	2.5186095231
49	2.5189867922
50	2.5193635294
51	2.5197397197
52	2.5201153475
53	2.5204903963
54	2.5208648487
55	2.5212386867
56	2.5216118912
57	2.5219844425
58	2.5223563201
59	2.5227275024
60	2.5230979673
61	2.5234676917
62	2.5238366515
63	2.5242048217
64	2.5245721766
65	2.5249386903
66	2.5253043361
67	2.5256690857
68	2.5260329095
69	2.5263957763
70	2.5267576550
71	2.5271185140
72	2.5274783211
73	2.5278370433
74	2.5281946471
75	2.5285510979
76	2.5289063594
77	2.5292603940
78	2.5296131632
79	2.5299646278
80	2.5303147474
81	2.5306634810
82	2.5310107871
83	2.5313566238
84	2.5317009490
85	2.5320437198
86	2.5323848929
87	2.5327244239
88	2.5330622676
89	2.5333983780
90	2.5337327078
91	2.5340652081
92	2.5343958294
93	2.5347245209
94	2.5350512304
95	2.5353759051
96	2.5356984916
97	2.5360189354
98	2.5363371818
99	2.5366531758
100	2.5369668620
101	2.5372781850
102	2.5375870896
103	2.5378935201
104	2.5381974208
105	2.5384987362
106	2.5387974099
107	2.5390933855
108	2.5393866064
109	2.5396770151
110	2.5399645540
111	2.5402491648
112	2.5405307881
113	2.5408093635
114	2.5410848305
115	2.5413571269
116	2.5416261902
117	2.5418919573
118	2.5421543638
119	2.5424133441
120	2.5426688323
121	2.5429207616
122	2.5431690656
123	2.5434136793
124	2.5436545366
125	2.5438915695
126	2.5441247077
127	2.5443538805
128	2.5445790219
129	2.5448000717
130	2.5450169705
131	2.5452296547
132	2.5454380549
133	2.5456421005
134	2.5458417265
135	2.5460368734
136	2.5462274836
137	2.5464135017
138	2.5465948736
139	2.5467715467
140	2.5469434653
141	2.5471105691
142	2.5472727975
143	2.5474300928
144	2.5475823990
145	2.5477296624
146	2.5478718329
147	2.5480088646
148	2.5481407138
149	2.5482673342
150	2.5483886781
151	2.5485046977
152	2.5486153409
153	2.5487205526
154	2.5488202772
155	2.5489144599
156	2.5490030472
157	2.5490859868
158	2.5491632293
159	2.5492347300
160	2.5493004441
161	2.5493603276
162	2.5494143386
163	2.5494624332
164	2.5495045653
165	2.5495406864
166	2.5495707458
167	2.5495946910
168	2.5496124668
169	2.5496240188
170	2.5496292940
171	2.5496282393
172	2.5496208049
173	2.5496069450
174	2.5495866162
175	2.5495597785
176	2.5495263951
177	2.5494864315
178	2.5494398544
179	2.5493866309
180	2.5493267303
181	2.5492601199
182	2.5491867652
183	2.5491066325
184	2.5490196854
185	2.5489258879
186	2.5488252057
187	2.5487176052
188	2.5486030530
189	2.5484815143
190	2.5483529563
191	2.5482173517
192	2.5480746815
193	2.5479249346
194	2.5477680995
195	2.5476041598
196	2.5474331007
197	2.5472549131
198	2.5470695984
199	2.5468771651
200	2.5466776200
201	2.5464709671
202	2.5462572077
203	2.5460363431
204	2.5458083718
205	2.5455732903
206	2.5453310992
207	2.5450818027
208	2.5448254089
209	2.5445619250
210	2.5442913531
211	2.5440136958
212	2.5437289550
213	2.5434371300
214	2.5431382210
215	2.5428322328
216	2.5425191785
217	2.5421990758
218	2.5418719456
219	2.5415378139
220	2.5411967082
221	2.5408486578
222	2.5404936887
223	2.5401318275
224	2.5397631040
225	2.5393875457
226	2.5390051818
227	2.5386160457
228	2.5382201750
229	2.5378176111
230	2.5374083955
231	2.5369925712
232	2.5365701791
233	2.5361412557
234	2.5357058338
235	2.5352639423
236	2.5348156084
237	2.5343608546
238	2.5338997029
239	2.5334321788
240	2.5329583079
241	2.5324781193
242	2.5319916452
243	2.5314989203
244	2.5309999790
245	2.5304948520
246	2.5299835706
247	2.5294661687
248	2.5289426842
249	2.5284131549
250	2.5278776091
251	2.5273360632
252	2.5267885303
253	2.5262350434
254	2.5256756624
255	2.5251104531
256	2.5245394619
257	2.5239627040
258	2.5233801879
259	2.5227919549
260	2.5221980886
261	2.5215986848
262	2.5209938076
263	2.5203834845
264	2.5197677338
265	2.5191465858
266	2.5185200800
267	2.5178882519
268	2.5172511417
269	2.5166088062
270	2.5159613118
271	2.5153087052
272	2.5146509981
273	2.5139881959
274	2.5133203201
275	2.5126474044
276	2.5119694821
277	2.5112865916
278	2.5105987915
279	2.5099061462
280	2.5092086997
281	2.5085064690
282	2.5077994623
283	2.5070876924
284	2.5063711637
285	2.5056498731
286	2.5049238304
287	2.5041930702
288	2.5034576312
289	2.5027175390
290	2.5019728182
291	2.5012234964
292	2.5004695894
293	2.4997110935
294	2.4989480016
295	2.4981803233
296	2.4974080746
297	2.4966312718
298	2.4958499450
299	2.4950641458
300	2.4942739287
301	2.4934793344
302	2.4926804019
303	2.4918771718
304	2.4910696685
305	2.4902578968
306	2.4894418620
307	2.4886215777
308	2.4877970527
309	2.4869682983
310	2.4861353448
